# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 6 -i /data/shared/emapper_jobs/user_data/MM_5ake07qj/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_5ake07qj -m diamond -d none --tax_scope auto --go_evidence non-electronic --target_orthologs all --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_5ake07qj
# time: Wed May 19 14:39:19 2021
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
rna1172_3	29078.XP_008147802.1	3.3e-135	489.6	Chiroptera	MRM1	GO:0000154,GO:0000451,GO:0000453,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008171,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016435,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0031974,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0070039,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360		ko:K15507					ko00000,ko01000,ko03009				Mammalia	39RM2@33154,3BM2Z@33208,3CRQT@33213,3JD2G@40674,4876B@7711,497AI@7742,4KX0M@9397,COG0566@1,KOG0838@2759	NA|NA|NA	A	rRNA methyltransferase 1
rna1173_1	225400.XP_006756233.1	1e-126	460.3	Chiroptera	DHRS11	GO:0000253,GO:0003674,GO:0003824,GO:0004303,GO:0006629,GO:0006694,GO:0008150,GO:0008152,GO:0008202,GO:0008610,GO:0009058,GO:0016229,GO:0016491,GO:0016614,GO:0016616,GO:0033764,GO:0044238,GO:0055114,GO:0071704,GO:0072555,GO:0072582,GO:1901360,GO:1901362,GO:1901576											Mammalia	38DQR@33154,3BJDJ@33208,3CUQ1@33213,3JETN@40674,485VX@7711,492N5@7742,4KT5V@9397,COG1028@1,KOG1205@2759	NA|NA|NA	Q	Dehydrogenase reductase (SDR family) member 11
rna1177_2	59538.XP_005982222.1	0.0	1246.5	Cetartiodactyla	GGNBP2												Mammalia	28HQM@1,2QQ20@2759,38F40@33154,3BCWJ@33208,3CXKI@33213,3JD3E@40674,47ZTD@7711,491VE@7742,4J6MP@91561	NA|NA|NA	S	Gametogenetin-binding protein 2
rna1174_2	59538.XP_005982222.1	0.0	1323.1	Cetartiodactyla	GGNBP2												Mammalia	28HQM@1,2QQ20@2759,38F40@33154,3BCWJ@33208,3CXKI@33213,3JD3E@40674,47ZTD@7711,491VE@7742,4J6MP@91561	NA|NA|NA	S	Gametogenetin-binding protein 2
rna1175_2	59538.XP_005982222.1	0.0	1319.3	Cetartiodactyla	GGNBP2												Mammalia	28HQM@1,2QQ20@2759,38F40@33154,3BCWJ@33208,3CXKI@33213,3JD3E@40674,47ZTD@7711,491VE@7742,4J6MP@91561	NA|NA|NA	S	Gametogenetin-binding protein 2
rna1176_2	59538.XP_005982222.1	0.0	1332.8	Cetartiodactyla	GGNBP2												Mammalia	28HQM@1,2QQ20@2759,38F40@33154,3BCWJ@33208,3CXKI@33213,3JD3E@40674,47ZTD@7711,491VE@7742,4J6MP@91561	NA|NA|NA	S	Gametogenetin-binding protein 2
rna1178_3	59463.ENSMLUP00000011995	1.5e-258	899.0	Chiroptera	PIGW	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006464,GO:0006497,GO:0006505,GO:0006506,GO:0006629,GO:0006643,GO:0006644,GO:0006650,GO:0006661,GO:0006664,GO:0006793,GO:0006796,GO:0006807,GO:0008104,GO:0008150,GO:0008152,GO:0008374,GO:0008610,GO:0008654,GO:0009058,GO:0009059,GO:0009247,GO:0009987,GO:0012505,GO:0016020,GO:0016254,GO:0016740,GO:0016746,GO:0016747,GO:0019538,GO:0019637,GO:0031984,GO:0033036,GO:0034613,GO:0034645,GO:0036211,GO:0042157,GO:0042158,GO:0042175,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045017,GO:0046467,GO:0046474,GO:0046486,GO:0046488,GO:0051179,GO:0051641,GO:0070727,GO:0071704,GO:0072657,GO:0072659,GO:0090407,GO:0098827,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1903509,GO:1990778		ko:K05283	ko00563,ko01100,map00563,map01100	M00065	R05918	RC00004	ko00000,ko00001,ko00002,ko01000				Mammalia	38CY0@33154,3BE2R@33208,3CXHN@33213,3JD6K@40674,480CX@7711,48XJF@7742,4KRC0@9397,COG5062@1,KOG0411@2759	NA|NA|NA	I	biosynthesis, class W
rna1179_2	29078.XP_008147801.1	0.0	1765.4	Chiroptera	MYO19	GO:0000146,GO:0003674,GO:0003774,GO:0003779,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005829,GO:0006810,GO:0006928,GO:0008092,GO:0008150,GO:0009987,GO:0010564,GO:0010821,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017022,GO:0017111,GO:0019867,GO:0022603,GO:0030029,GO:0030048,GO:0030705,GO:0031090,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0032027,GO:0032465,GO:0033043,GO:0034642,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046907,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051179,GO:0051234,GO:0051302,GO:0051640,GO:0051641,GO:0051646,GO:0051649,GO:0051654,GO:0051656,GO:0051726,GO:0060002,GO:0065007,GO:0090140,GO:0098588,GO:0098805,GO:0099515											Mammalia	39P64@33154,3BF3S@33208,3D136@33213,3J9GI@40674,47YY7@7711,48UVM@7742,4KWTG@9397,COG5022@1,KOG0160@2759,KOG0164@2759	NA|NA|NA	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
rna1180_1	9713.XP_006747487.1	5.5e-72	277.7	Carnivora	ZNHIT3	GO:0003674,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006355,GO:0008134,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0035257,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046966,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0051427,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141											Mammalia	3A8DH@33154,3BUPR@33208,3DARF@33213,3EFBN@33554,3JF4V@40674,48G5G@7711,49D2N@7742,KOG2857@1,KOG2857@2759	NA|NA|NA	K	zinc finger
rna1181_1	29078.XP_008147726.1	5.2e-136	490.7	Chiroptera	CA4	GO:0003674,GO:0003824,GO:0004089,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005791,GO:0005793,GO:0005794,GO:0005802,GO:0005886,GO:0005903,GO:0006810,GO:0006811,GO:0006820,GO:0006885,GO:0007275,GO:0008150,GO:0009719,GO:0009725,GO:0009897,GO:0009986,GO:0010033,GO:0012505,GO:0012506,GO:0014070,GO:0015669,GO:0015670,GO:0015701,GO:0015711,GO:0015893,GO:0016020,GO:0016324,GO:0016528,GO:0016529,GO:0016829,GO:0016835,GO:0016836,GO:0019755,GO:0030133,GO:0030141,GO:0030658,GO:0030659,GO:0030667,GO:0031090,GO:0031224,GO:0031225,GO:0031226,GO:0031233,GO:0031253,GO:0031362,GO:0031410,GO:0031526,GO:0031982,GO:0031984,GO:0032501,GO:0032502,GO:0033993,GO:0042221,GO:0042383,GO:0042493,GO:0042592,GO:0042995,GO:0043226,GO:0043227,GO:0043229,GO:0043230,GO:0043231,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0045177,GO:0046658,GO:0048471,GO:0048513,GO:0048545,GO:0048731,GO:0048856,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0055067,GO:0055080,GO:0065007,GO:0065008,GO:0070062,GO:0071702,GO:0071944,GO:0097708,GO:0098552,GO:0098588,GO:0098590,GO:0098771,GO:0098791,GO:0098805,GO:0098862,GO:0099503,GO:0120025,GO:0120038,GO:1903561	4.2.1.1	ko:K18246	ko00910,ko04964,map00910,map04964		R10092	RC02807	ko00000,ko00001,ko00537,ko01000,ko04147				Mammalia	39XTU@33154,3BMQY@33208,3D16D@33213,3JB7X@40674,48385@7711,49916@7742,4KT1D@9397,COG3338@1,KOG0382@2759	NA|NA|NA	P	Carbonic anhydrase
